frame,rect_id,x,y,w,h
0,0,0,433,281,271
0,1,453,409,377,311
0,2,932,406,348,314
0,3,909,113,299,259
0,4,3,94,241,238
0,5,429,93,384,268
1,0,0,436,256,269
1,1,464,408,376,312
1,2,940,402,340,318
1,3,915,107,304,260
1,4,436,87,384,272
2,0,0,436,299,269
2,1,469,407,378,313
2,2,949,398,331,312
2,3,921,105,307,259
2,4,23,102,234,234
2,5,443,88,384,269
3,0,0,433,300,268
3,1,469,402,378,318
3,2,949,391,331,312
3,3,922,98,305,259
3,4,24,98,232,235
3,5,443,87,384,265
4,0,0,430,302,268
4,1,473,397,377,322
4,2,950,387,330,312
4,3,24,95,232,236
4,4,923,93,308,260
4,5,443,82,386,266
5,0,0,426,308,268
5,1,478,393,377,321
5,2,955,382,325,312
5,3,28,91,232,238
5,4,926,87,310,261
5,5,446,76,387,268
6,0,0,423,310,268
6,1,480,389,377,322
6,2,957,377,323,312
6,3,30,88,230,238
6,4,928,82,310,261
6,5,448,72,386,268
7,0,0,421,313,267
7,1,483,385,376,322
7,2,959,372,321,313
7,3,32,85,229,240
7,4,930,78,312,260
7,5,449,68,387,270
8,0,0,419,315,266
8,1,486,382,375,321
8,2,962,368,318,313
8,3,33,83,228,240
8,4,932,72,312,261
8,5,450,64,388,271
9,0,0,416,317,266
9,1,488,378,375,322
9,2,963,364,317,312
9,3,36,80,225,240
9,4,933,68,312,261
9,5,453,59,386,272
10,0,0,414,319,265
10,1,490,375,374,321
10,2,964,358,316,314
10,3,37,78,225,241
10,4,934,64,315,261
10,5,454,55,387,274
11,0,0,412,282,265
11,1,492,372,374,321
11,2,966,355,314,313
11,3,38,75,224,242
11,4,936,59,315,262
11,5,455,51,387,275
12,0,0,410,322,265
12,1,494,369,373,321
12,2,968,351,312,313
12,3,43,74,219,241
12,4,937,55,314,262
12,5,456,47,387,276
13,0,0,407,285,265
13,1,497,365,372,321
13,2,969,346,311,313
13,3,44,71,218,241
13,4,938,50,316,262
13,5,457,43,387,277
14,0,0,405,286,264
14,1,498,361,372,322
14,2,970,342,310,314
14,3,43,68,219,243
14,4,939,45,316,263
14,5,458,39,387,278
15,0,0,402,327,266
15,1,499,358,372,322
15,2,972,338,308,314
15,3,42,65,220,244
15,4,941,41,316,264
15,5,458,35,388,280
16,0,0,400,288,264
16,1,501,355,371,321
16,2,972,334,308,313
16,3,44,63,218,244
16,4,942,36,317,265
16,5,459,30,388,282
17,0,0,398,290,265
17,1,502,353,371,321
17,2,974,332,306,314
17,3,44,60,218,246
17,4,942,33,318,265
17,5,460,28,388,282
18,0,0,397,331,265
18,1,503,351,371,322
18,2,975,329,305,314
18,3,47,59,215,246
18,4,943,29,319,267
18,5,461,25,387,283
19,0,0,397,293,265
19,1,506,349,370,323
19,2,977,327,303,315
19,3,47,61,216,244
19,4,945,27,320,267
19,5,461,23,389,284
20,0,0,397,334,265
20,1,506,348,371,323
20,2,977,325,303,316
20,3,47,58,217,247
20,4,946,25,320,268
20,5,461,22,390,285
21,0,0,396,335,265
21,1,506,348,372,322
21,2,978,323,302,316
21,3,50,57,213,248
21,4,946,23,320,268
21,5,462,20,389,286
22,0,0,397,295,264
22,1,507,347,372,323
22,2,979,322,301,317
22,3,53,59,211,246
22,4,948,21,321,270
22,5,464,19,389,286
23,0,0,404,296,265
23,1,509,354,372,324
23,2,981,328,299,319
23,3,55,67,211,245
23,4,948,28,322,269
23,5,465,26,389,286
24,0,0,412,338,265
24,1,510,361,373,326
24,2,982,335,298,320
24,3,57,75,212,244
24,4,948,36,324,268
24,5,466,35,389,285
25,0,0,421,299,265
25,1,512,370,373,326
25,2,984,342,296,323
25,3,467,45,389,284
25,4,948,44,325,269
26,0,0,430,340,267
26,1,512,380,375,328
26,2,986,352,294,325
26,3,62,97,213,241
26,4,469,56,388,282
26,5,947,55,327,268
27,0,0,438,341,268
27,1,514,387,375,330
27,2,987,358,293,327
27,3,64,104,214,242
27,4,471,64,388,283
27,5,949,62,326,268
28,0,0,445,342,268
28,1,515,394,376,326
28,2,989,365,291,328
28,3,66,112,215,241
28,4,473,71,388,283
28,5,950,69,330,269
29,0,0,456,342,264
29,1,515,405,379,315
29,2,991,374,289,333
29,3,69,124,214,238
29,4,474,82,388,281
29,5,949,79,331,269
30,0,0,470,343,250
30,1,516,418,380,302
30,2,993,386,287,334
30,3,72,139,215,236
30,4,476,97,388,279
30,5,950,94,330,267
31,0,0,482,343,238
31,1,516,431,383,289
31,2,995,400,285,320
31,3,73,152,217,235
31,4,477,110,388,279
31,5,951,107,329,266
32,0,0,489,343,231
32,1,516,439,385,281
32,2,996,410,284,310
32,3,72,158,221,237
32,4,479,119,387,279
32,5,950,116,330,266
33,0,0,494,344,226
33,1,516,444,386,276
33,2,997,415,283,305
33,3,73,164,221,236
33,4,480,125,387,279
33,5,951,122,329,266
34,0,0,501,343,219
34,1,517,452,387,268
34,2,999,422,281,298
34,3,75,172,221,234
34,4,480,132,388,278
34,5,951,129,329,265
35,0,0,506,344,214
35,1,517,457,388,263
35,2,1000,429,280,291
35,3,75,176,223,236
35,4,481,138,388,278
35,5,952,136,328,264
36,0,0,509,344,211
36,1,517,460,389,260
36,2,1000,432,280,288
36,3,75,179,224,235
36,4,481,142,389,277
36,5,952,139,328,265
37,0,0,512,344,208
