frame,rect_id,x,y,w,h
0,0,713,0,541,577
0,1,0,0,741,720
1,0,725,0,538,576
1,1,0,0,756,720
2,0,732,0,547,579
2,1,0,0,763,720
3,0,0,0,1280,720
4,0,726,0,544,569
4,1,0,0,761,720
5,0,0,0,1280,720
6,0,0,0,1280,720
7,0,737,0,543,565
7,1,0,0,774,720
8,0,0,0,1280,720
9,0,0,0,1280,720
10,0,735,0,545,564
10,1,0,0,774,720
11,0,0,0,1280,720
12,0,726,0,554,559
12,1,0,0,774,720
13,0,735,0,545,562
13,1,0,0,774,720
14,0,725,0,555,562
14,1,0,0,773,720
15,0,0,0,1280,720
16,0,734,0,546,559
16,1,0,0,773,720
17,0,0,0,1280,720
18,0,0,0,1280,720
19,0,733,0,547,555
19,1,0,0,774,720
20,0,0,0,1278,720
21,0,0,0,1280,720
22,0,731,0,549,554
22,1,0,0,774,720
23,0,730,0,547,556
23,1,0,0,773,720
24,0,730,0,548,548
24,1,0,0,773,720
25,0,729,0,549,553
25,1,0,0,771,720
26,0,727,0,545,553
26,1,0,0,769,720
27,0,727,0,544,547
27,1,0,0,771,720
28,0,726,0,546,551
28,1,0,0,772,720
29,0,726,0,543,552
29,1,0,0,771,720
30,0,716,0,554,544
30,1,0,0,771,720
31,0,725,0,546,551
31,1,0,0,771,720
32,0,725,0,543,551
32,1,0,0,771,720
33,0,725,0,544,543
33,1,0,0,771,720
34,0,725,0,545,549
34,1,0,0,772,720
35,0,715,0,553,550
35,1,0,0,772,720
36,0,724,0,546,544
36,1,0,0,772,720
37,0,724,0,546,550
37,1,0,0,773,720
38,0,724,0,542,549
38,1,0,0,772,720
39,0,724,0,545,543
39,1,0,0,773,720
40,0,724,0,545,547
40,1,0,0,773,720
41,0,0,0,1268,720
42,0,724,0,546,541
42,1,0,0,774,720
43,0,724,0,547,546
43,1,0,0,774,720
44,0,0,0,1269,720
45,0,725,0,547,540
45,1,0,0,776,720
46,0,725,0,549,545
46,1,0,0,777,720
47,0,0,0,1273,720
48,0,727,0,549,538
48,1,0,0,779,720
49,0,728,0,550,542
49,1,0,0,780,720
50,0,728,0,548,540
50,1,0,0,781,720
51,0,729,0,550,535
51,1,0,0,782,720
52,0,729,0,550,542
52,1,0,0,783,720
53,0,730,0,549,538
53,1,0,0,783,720
54,0,730,0,550,533
54,1,0,0,785,720
55,0,731,0,549,540
55,1,0,0,786,720
56,0,731,0,549,538
56,1,0,0,785,720
57,0,518,429,270,291
57,1,136,138,590,582
57,2,733,0,547,534
57,3,0,0,406,528
58,0,734,0,546,541
58,1,0,0,790,720
59,0,0,0,1280,720
60,0,523,427,269,293
60,1,736,0,544,532
60,2,0,0,730,720
61,0,737,0,543,537
61,1,0,0,794,720
62,0,728,0,552,536
62,1,0,0,794,720
63,0,739,0,541,531
63,1,0,0,796,720
64,0,740,0,540,536
64,1,0,0,797,720
65,0,731,0,549,533
65,1,0,0,798,720
66,0,741,0,539,532
66,1,0,0,799,720
67,0,742,0,538,536
67,1,0,0,799,720
68,0,743,0,537,532
68,1,0,0,801,720
69,0,743,0,537,530
69,1,0,0,801,720
70,0,743,0,537,535
70,1,0,0,801,720
71,0,744,0,536,532
71,1,0,0,802,720
72,0,534,421,271,299
72,1,746,0,534,525
72,2,143,0,596,720
72,3,0,0,419,518
73,0,746,0,534,532
73,1,0,0,806,720
74,0,747,0,533,530
74,1,0,0,807,720
75,0,749,0,531,525
75,1,145,0,663,720
75,2,0,0,422,520
76,0,749,0,531,531
76,1,0,0,808,720
77,0,749,0,531,530
77,1,0,0,809,720
78,0,751,0,529,529
78,1,148,0,662,720
78,2,0,0,424,521
79,0,832,0,448,536
79,1,0,0,809,720
