frame,rect_id,first,second,fourth,fifth
776,../paintings_db/026.png,../paintings_db/009.png,../paintings_db/042.png,../paintings_db/024.png,../paintings_db/019.png
788,../paintings_db/039.png,../paintings_db/009.png,../paintings_db/082.png,../paintings_db/027.png,../paintings_db/033.png
790,../paintings_db/009.png,../paintings_db/019.png,../paintings_db/094.png,../paintings_db/029.png,../paintings_db/083.png
795,../paintings_db/009.png,../paintings_db/026.png,../paintings_db/029.png,../paintings_db/074.png,../paintings_db/039.png
799,../paintings_db/009.png,../paintings_db/073.png,../paintings_db/064.png,../paintings_db/074.png,../paintings_db/089.png
806,../paintings_db/075.png,../paintings_db/077.png,../paintings_db/027.png,../paintings_db/039.png,../paintings_db/009.png
808,../paintings_db/009.png,../paintings_db/061.png,../paintings_db/092.png,../paintings_db/060.png,../paintings_db/075.png
824,../paintings_db/026.png,../paintings_db/009.png,../paintings_db/028.png,../paintings_db/001.png,../paintings_db/048.png
831,../paintings_db/061.png,../paintings_db/026.png,../paintings_db/009.png,../paintings_db/090.png,../paintings_db/030.png
856,../paintings_db/009.png,../paintings_db/026.png,../paintings_db/062.png,../paintings_db/039.png,../paintings_db/042.png
857,../paintings_db/026.png,../paintings_db/075.png,../paintings_db/039.png,../paintings_db/029.png,../paintings_db/055.png
875,../paintings_db/009.png,../paintings_db/010.png,../paintings_db/047.png,../paintings_db/067.png,../paintings_db/075.png
878,../paintings_db/075.png,../paintings_db/067.png,../paintings_db/082.png,../paintings_db/039.png,../paintings_db/009.png
882,../paintings_db/009.png,../paintings_db/048.png,../paintings_db/000.png,../paintings_db/075.png,../paintings_db/012.png
886,../paintings_db/039.png,../paintings_db/026.png,../paintings_db/062.png,../paintings_db/066.png,../paintings_db/007.png
887,../paintings_db/009.png,../paintings_db/042.png,../paintings_db/056.png,../paintings_db/060.png,../paintings_db/083.png
888,../paintings_db/009.png,../paintings_db/027.png,../paintings_db/055.png,../paintings_db/042.png,../paintings_db/094.png
898,../paintings_db/042.png,../paintings_db/009.png,../paintings_db/083.png,../paintings_db/077.png,../paintings_db/019.png
902,../paintings_db/039.png,../paintings_db/009.png,../paintings_db/082.png,../paintings_db/068.png,../paintings_db/030.png
913,../paintings_db/009.png,../paintings_db/039.png,../paintings_db/042.png,../paintings_db/026.png,../paintings_db/019.png
926,../paintings_db/009.png,../paintings_db/039.png,../paintings_db/031.png,../paintings_db/075.png,../paintings_db/082.png
928,../paintings_db/009.png,../paintings_db/075.png,../paintings_db/004.png,../paintings_db/027.png,../paintings_db/034.png
