frame,rect_id,x,y,w,h
0,0,406,57,452,615
0,1,917,0,363,686
0,2,0,0,375,657
1,0,403,55,453,618
1,1,914,0,366,688
1,2,0,0,372,658
2,0,401,56,453,616
2,1,915,0,365,687
2,2,0,0,371,655
3,0,401,54,451,616
3,1,915,0,365,685
3,2,0,0,371,653
4,0,398,51,453,619
4,1,913,0,367,685
4,2,0,0,369,652
5,0,398,52,452,616
5,1,912,0,368,683
5,2,0,0,367,651
6,0,396,50,452,617
6,1,912,0,368,681
6,2,0,0,366,650
7,0,395,46,451,620
7,1,910,0,370,680
7,2,0,0,358,649
8,0,393,45,452,619
8,1,908,0,372,678
8,2,0,0,362,648
9,0,391,43,451,619
9,1,907,0,373,676
9,2,0,0,360,647
10,0,389,43,452,618
10,1,905,0,375,675
10,2,0,0,351,646
11,0,387,43,451,617
11,1,904,0,376,674
11,2,0,0,357,645
12,0,386,41,450,618
12,1,902,0,378,673
12,2,0,0,355,644
13,0,384,38,451,620
13,1,900,0,380,672
13,2,0,0,353,644
14,0,383,37,450,620
14,1,899,0,381,670
14,2,0,0,351,642
15,0,381,38,450,618
15,1,898,0,382,669
15,2,0,0,350,641
16,0,380,35,450,620
16,1,897,0,383,669
16,2,0,0,349,640
17,0,379,34,450,619
17,1,896,0,384,667
17,2,0,0,347,639
18,0,378,33,450,619
18,1,895,0,385,665
18,2,0,0,345,638
19,0,377,31,451,621
19,1,894,0,386,665
19,2,0,0,345,638
20,0,377,32,450,618
20,1,894,0,386,664
20,2,0,0,344,637
21,0,376,29,450,620
21,1,893,0,387,662
21,2,0,0,343,635
22,0,375,28,450,620
22,1,892,0,388,662
22,2,0,0,342,635
23,0,375,27,449,620
23,1,892,0,388,660
23,2,0,0,341,634
24,0,374,26,450,621
24,1,891,0,389,659
24,2,0,0,340,634
25,0,374,25,449,621
25,1,890,0,390,658
25,2,0,0,339,633
26,0,373,25,449,620
26,1,890,0,390,658
26,2,0,0,339,632
27,0,372,25,450,619
27,1,889,0,391,657
27,2,0,0,338,632
28,0,372,25,449,618
28,1,889,0,391,656
28,2,0,0,337,631
29,0,371,23,449,620
29,1,888,0,392,655
29,2,0,0,336,632
30,0,371,24,449,618
30,1,888,0,392,655
30,2,0,0,336,631
31,0,371,23,449,619
31,1,886,0,394,654
31,2,0,0,334,631
32,0,370,24,449,618
32,1,886,0,394,654
32,2,0,0,334,632
33,0,370,25,449,618
33,1,886,0,394,656
33,2,0,0,334,633
34,0,369,24,450,620
34,1,884,0,396,656
34,2,0,0,334,634
35,0,369,27,450,617
35,1,884,0,396,656
35,2,0,0,333,635
36,0,369,27,449,618
36,1,883,0,397,657
36,2,0,0,333,636
37,0,368,29,450,617
37,1,882,0,398,658
37,2,0,0,333,637
38,0,368,30,450,617
38,1,882,0,398,659
38,2,0,0,332,638
39,0,367,31,451,617
39,1,881,0,399,660
39,2,0,0,334,639
40,0,367,33,451,617
40,1,880,0,400,661
40,2,0,0,332,641
41,0,367,34,450,617
41,1,880,0,400,663
41,2,0,0,331,642
42,0,366,34,451,618
42,1,879,0,401,664
42,2,0,0,333,644
43,0,366,35,451,618
43,1,878,0,402,665
43,2,0,0,332,646
44,0,365,37,452,618
44,1,877,0,403,667
44,2,0,0,331,647
45,0,365,39,452,617
45,1,877,0,403,668
45,2,0,0,332,648
46,0,365,40,452,618
46,1,876,0,404,669
46,2,0,0,331,650
47,0,365,42,452,617
47,1,876,0,404,669
47,2,0,0,331,651
48,0,365,43,451,616
48,1,875,0,405,671
48,2,0,0,334,652
49,0,364,44,452,617
49,1,875,0,405,672
49,2,0,0,331,654
50,0,365,47,451,614
50,1,875,0,405,672
50,2,0,0,331,654
