frame,rect_id,first,second,fourth,fifth
7,../paintings_db/003.png,../paintings_db/035.png,../paintings_db/048.png,../paintings_db/057.png,../paintings_db/004.png
24,../paintings_db/048.png,../paintings_db/041.png,../paintings_db/003.png,../paintings_db/059.png,../paintings_db/083.png
31,../paintings_db/039.png,../paintings_db/003.png,../paintings_db/012.png,../paintings_db/027.png,../paintings_db/041.png
41,../paintings_db/048.png,../paintings_db/076.png,../paintings_db/047.png,../paintings_db/031.png,../paintings_db/064.png
84,../paintings_db/048.png,../paintings_db/003.png,../paintings_db/041.png,../paintings_db/001.png,../paintings_db/063.png
86,../paintings_db/087.png,../paintings_db/013.png,../paintings_db/078.png,../paintings_db/032.png,../paintings_db/018.png
100,../paintings_db/078.png,../paintings_db/003.png,../paintings_db/090.png,../paintings_db/012.png,../paintings_db/006.png
117,../paintings_db/003.png,../paintings_db/012.png,../paintings_db/025.png,../paintings_db/063.png,../paintings_db/016.png
137,../paintings_db/039.png,../paintings_db/078.png,../paintings_db/001.png,../paintings_db/075.png,../paintings_db/003.png
143,../paintings_db/021.png,../paintings_db/087.png,../paintings_db/046.png,../paintings_db/048.png,../paintings_db/014.png
156,../paintings_db/041.png,../paintings_db/025.png,../paintings_db/050.png,../paintings_db/085.png,../paintings_db/003.png
171,../paintings_db/031.png,../paintings_db/084.png,../paintings_db/070.png,../paintings_db/018.png,../paintings_db/003.png
172,../paintings_db/078.png,../paintings_db/041.png,../paintings_db/046.png,../paintings_db/009.png,../paintings_db/067.png
174,../paintings_db/009.png,../paintings_db/025.png,../paintings_db/041.png,../paintings_db/027.png,../paintings_db/067.png
182,../paintings_db/049.png,../paintings_db/078.png,../paintings_db/087.png,../paintings_db/013.png,../paintings_db/092.png
184,../paintings_db/031.png,../paintings_db/078.png,../paintings_db/015.png,../paintings_db/050.png,../paintings_db/070.png
190,../paintings_db/059.png,../paintings_db/015.png,../paintings_db/041.png,../paintings_db/066.png,../paintings_db/031.png
204,../paintings_db/041.png,../paintings_db/031.png,../paintings_db/076.png,../paintings_db/034.png,../paintings_db/069.png
208,../paintings_db/041.png,../paintings_db/017.png,../paintings_db/046.png,../paintings_db/042.png,../paintings_db/049.png
208,../paintings_db/083.png,../paintings_db/078.png,../paintings_db/064.png,../paintings_db/094.png,../paintings_db/038.png
209,../paintings_db/092.png,../paintings_db/000.png,../paintings_db/005.png,../paintings_db/091.png,../paintings_db/084.png
211,../paintings_db/078.png,../paintings_db/049.png,../paintings_db/005.png,../paintings_db/000.png,../paintings_db/027.png
220,../paintings_db/031.png,../paintings_db/012.png,../paintings_db/018.png,../paintings_db/078.png,../paintings_db/003.png
222,../paintings_db/031.png,../paintings_db/034.png,../paintings_db/036.png,../paintings_db/007.png,../paintings_db/088.png
225,../paintings_db/031.png,../paintings_db/018.png,../paintings_db/066.png,../paintings_db/048.png,../paintings_db/068.png
226,../paintings_db/087.png,../paintings_db/031.png,../paintings_db/091.png,../paintings_db/075.png,../paintings_db/015.png
227,../paintings_db/012.png,../paintings_db/031.png,../paintings_db/075.png,../paintings_db/039.png,../paintings_db/070.png
230,../paintings_db/031.png,../paintings_db/087.png,../paintings_db/022.png,../paintings_db/058.png,../paintings_db/001.png
235,../paintings_db/031.png,../paintings_db/034.png,../paintings_db/059.png,../paintings_db/071.png,../paintings_db/041.png
238,../paintings_db/066.png,../paintings_db/008.png,../paintings_db/087.png,../paintings_db/046.png,../paintings_db/006.png
243,../paintings_db/031.png,../paintings_db/063.png,../paintings_db/066.png,../paintings_db/086.png,../paintings_db/015.png
245,../paintings_db/059.png,../paintings_db/085.png,../paintings_db/056.png,../paintings_db/050.png,../paintings_db/078.png
252,../paintings_db/092.png,../paintings_db/025.png,../paintings_db/051.png,../paintings_db/046.png,../paintings_db/075.png
253,../paintings_db/075.png,../paintings_db/024.png,../paintings_db/013.png,../paintings_db/061.png,../paintings_db/091.png
