frame,rect_id,x,y,w,h
0,0,225,166,468,508
1,0,228,161,467,507
2,0,230,160,466,504
3,0,232,156,464,503
4,0,233,153,465,502
5,0,235,149,465,500
6,0,237,145,463,499
7,0,238,141,463,499
8,0,240,137,463,498
9,0,242,133,462,497
10,0,244,129,461,497
11,0,246,124,462,497
12,0,248,120,460,496
13,0,250,115,460,497
14,0,253,111,460,496
15,0,255,106,459,496
16,0,257,102,459,498
17,0,259,98,460,497
18,0,262,94,459,498
19,0,264,90,460,499
20,0,267,87,459,498
21,0,270,83,460,499
22,0,272,80,460,501
23,0,275,78,460,500
24,0,278,74,461,501
25,0,280,72,462,502
26,0,283,69,462,502
27,0,286,66,462,503
28,0,288,64,463,504
29,0,291,62,463,504
30,0,293,59,464,505
31,0,296,56,465,507
32,0,298,54,465,506
33,0,301,51,466,507
34,0,303,48,467,508
35,0,305,45,467,509
36,0,308,42,467,509
37,0,310,40,468,510
38,0,312,38,468,510
39,0,314,35,469,511
40,0,315,32,470,513
41,0,317,32,469,512
42,0,319,31,469,512
43,0,320,30,470,513
44,0,321,30,470,512
45,0,322,28,471,513
46,0,324,28,470,513
47,0,325,28,471,513
48,0,325,27,471,513
49,0,326,26,472,514
50,0,327,26,472,514
51,0,327,25,472,514
52,0,327,25,473,515
53,0,328,26,472,514
54,0,329,25,473,515
55,0,329,25,473,516
56,0,330,25,473,515
57,0,330,25,474,515
58,0,331,25,474,516
59,0,331,26,474,515
60,0,330,26,475,516
61,0,330,29,474,516
62,0,330,32,474,516
63,0,330,35,474,516
64,0,329,41,474,515
65,0,329,46,473,513
66,0,329,48,473,514
67,0,328,51,474,514
68,0,328,53,473,513
69,0,328,56,473,513
70,0,328,58,472,513
71,0,328,60,472,512
72,0,328,61,472,513
73,0,328,63,471,513
74,0,328,65,471,512
75,0,328,66,471,512
76,0,327,67,471,512
77,0,327,69,470,511
78,0,326,70,471,512
79,0,326,71,470,512
80,0,326,72,469,512
81,0,326,74,470,512
82,0,325,75,470,512
83,0,325,76,469,511
84,0,324,77,469,512
85,0,323,79,469,511
86,0,322,80,468,510
87,0,322,80,467,511
88,0,321,81,466,510
89,0,320,82,466,509
90,0,319,82,467,510
91,0,318,83,465,509
92,0,318,84,464,508
93,0,317,85,463,508
94,0,315,86,463,507
95,0,314,87,462,506
96,0,313,87,461,506
97,0,311,88,460,505
98,0,310,89,458,505
99,0,308,90,458,504
100,0,306,90,456,505
101,0,304,91,456,503
102,0,302,92,455,503
103,0,302,92,453,503
104,0,302,93,453,502
105,0,302,93,452,503
106,0,303,94,450,502
107,0,304,94,449,501
108,0,305,95,448,501
109,0,307,95,446,500
110,0,309,95,445,499
111,0,311,96,443,498
112,0,314,96,441,498
113,0,317,96,440,497
114,0,320,96,438,497
115,0,322,97,437,495
116,0,325,97,435,494
117,0,328,97,434,494
118,0,331,97,432,493
119,0,334,97,431,492
120,0,336,97,429,492
121,0,337,96,429,492
122,0,339,96,428,491
123,0,341,95,426,492
124,0,342,95,426,490
125,0,345,94,424,490
126,0,347,93,424,491
127,0,349,92,423,491
128,0,352,91,423,491
129,0,354,90,423,493
130,0,356,90,422,492
131,0,358,89,422,493
132,0,359,89,422,493
