frame,rect_id,first,second,fourth,fifth
0,../paintings_db/094.png,../paintings_db/092.png,../paintings_db/079.png,../paintings_db/009.png,../paintings_db/078.png
0,../paintings_db/037.png,../paintings_db/063.png,../paintings_db/092.png,../paintings_db/024.png,../paintings_db/058.png
1,../paintings_db/094.png,../paintings_db/035.png,../paintings_db/086.png,../paintings_db/083.png,../paintings_db/048.png
1,../paintings_db/037.png,../paintings_db/001.png,../paintings_db/066.png,../paintings_db/048.png,../paintings_db/092.png
2,../paintings_db/094.png,../paintings_db/018.png,../paintings_db/049.png,../paintings_db/054.png,../paintings_db/086.png
2,../paintings_db/037.png,../paintings_db/093.png,../paintings_db/055.png,../paintings_db/027.png,../paintings_db/018.png
2,../paintings_db/010.png,../paintings_db/089.png,../paintings_db/022.png,../paintings_db/070.png,../paintings_db/031.png
3,../paintings_db/094.png,../paintings_db/083.png,../paintings_db/086.png,../paintings_db/016.png,../paintings_db/030.png
3,../paintings_db/037.png,../paintings_db/003.png,../paintings_db/092.png,../paintings_db/046.png,../paintings_db/050.png
4,../paintings_db/094.png,../paintings_db/009.png,../paintings_db/042.png,../paintings_db/080.png,../paintings_db/046.png
4,../paintings_db/037.png,../paintings_db/039.png,../paintings_db/024.png,../paintings_db/017.png,../paintings_db/046.png
5,../paintings_db/094.png,../paintings_db/078.png,../paintings_db/043.png,../paintings_db/009.png,../paintings_db/087.png
5,../paintings_db/037.png,../paintings_db/066.png,../paintings_db/048.png,../paintings_db/024.png,../paintings_db/092.png
6,../paintings_db/094.png,../paintings_db/083.png,../paintings_db/048.png,../paintings_db/009.png,../paintings_db/078.png
6,../paintings_db/037.png,../paintings_db/006.png,../paintings_db/017.png,../paintings_db/018.png,../paintings_db/066.png
7,../paintings_db/094.png,../paintings_db/009.png,../paintings_db/048.png,../paintings_db/086.png,../paintings_db/011.png
7,../paintings_db/037.png,../paintings_db/024.png,../paintings_db/071.png,../paintings_db/039.png,../paintings_db/003.png
8,../paintings_db/094.png,../paintings_db/043.png,../paintings_db/083.png,../paintings_db/035.png,../paintings_db/027.png
8,../paintings_db/037.png,../paintings_db/001.png,../paintings_db/063.png,../paintings_db/039.png,../paintings_db/023.png
9,../paintings_db/094.png,../paintings_db/042.png,../paintings_db/083.png,../paintings_db/071.png,../paintings_db/046.png
9,../paintings_db/037.png,../paintings_db/078.png,../paintings_db/046.png,../paintings_db/063.png,../paintings_db/084.png
10,../paintings_db/094.png,../paintings_db/083.png,../paintings_db/051.png,../paintings_db/071.png,../paintings_db/011.png
10,../paintings_db/037.png,../paintings_db/092.png,../paintings_db/063.png,../paintings_db/089.png,../paintings_db/000.png
11,../paintings_db/094.png,../paintings_db/043.png,../paintings_db/086.png,../paintings_db/064.png,../paintings_db/009.png
11,../paintings_db/037.png,../paintings_db/043.png,../paintings_db/084.png,../paintings_db/092.png,../paintings_db/029.png
12,../paintings_db/094.png,../paintings_db/027.png,../paintings_db/086.png,../paintings_db/083.png,../paintings_db/021.png
12,../paintings_db/037.png,../paintings_db/006.png,../paintings_db/069.png,../paintings_db/062.png,../paintings_db/028.png
13,../paintings_db/094.png,../paintings_db/009.png,../paintings_db/046.png,../paintings_db/048.png,../paintings_db/071.png
13,../paintings_db/037.png,../paintings_db/007.png,../paintings_db/048.png,../paintings_db/093.png,../paintings_db/042.png
14,../paintings_db/094.png,../paintings_db/009.png,../paintings_db/071.png,../paintings_db/011.png,../paintings_db/079.png
14,../paintings_db/037.png,../paintings_db/084.png,../paintings_db/024.png,../paintings_db/092.png,../paintings_db/056.png
15,../paintings_db/094.png,../paintings_db/035.png,../paintings_db/079.png,../paintings_db/083.png,../paintings_db/043.png
15,../paintings_db/037.png,../paintings_db/011.png,../paintings_db/021.png,../paintings_db/073.png,../paintings_db/072.png
16,../paintings_db/037.png,../paintings_db/024.png,../paintings_db/092.png,../paintings_db/018.png,../paintings_db/090.png
16,../paintings_db/094.png,../paintings_db/018.png,../paintings_db/023.png,../paintings_db/008.png,../paintings_db/048.png
17,../paintings_db/037.png,../paintings_db/092.png,../paintings_db/023.png,../paintings_db/039.png,../paintings_db/062.png
17,../paintings_db/094.png,../paintings_db/009.png,../paintings_db/078.png,../paintings_db/037.png,../paintings_db/035.png
18,../paintings_db/037.png,../paintings_db/058.png,../paintings_db/039.png,../paintings_db/093.png,../paintings_db/017.png
18,../paintings_db/094.png,../paintings_db/009.png,../paintings_db/035.png,../paintings_db/092.png,../paintings_db/056.png
19,../paintings_db/037.png,../paintings_db/092.png,../paintings_db/000.png,../paintings_db/030.png,../paintings_db/062.png
