frame,rect_id,x,y,w,h
0,0,25,0,916,720
1,0,19,0,913,720
2,0,151,0,775,720
3,0,14,0,917,720
4,0,18,0,912,720
5,0,203,0,724,720
6,0,17,0,914,720
7,0,19,0,908,720
8,0,206,0,721,720
9,0,21,0,911,720
10,0,23,0,906,720
11,0,209,0,719,720
12,0,25,0,907,720
13,0,161,0,765,720
14,0,198,0,732,720
15,0,27,0,905,720
16,0,164,0,755,720
17,0,200,0,731,720
18,0,23,0,912,720
19,0,169,0,750,720
20,0,203,0,731,720
21,0,21,0,915,720
22,0,170,0,750,720
23,0,204,0,731,720
24,0,27,0,910,720
25,0,169,0,752,720
26,0,205,0,731,720
27,0,28,0,910,720
28,0,169,0,762,720
29,0,205,0,731,720
30,0,29,0,908,720
31,0,28,0,908,720
32,0,170,0,767,720
33,0,27,0,910,720
34,0,26,0,910,720
35,0,170,0,766,720
36,0,25,0,912,720
37,0,25,0,911,720
38,0,170,0,767,720
39,0,24,0,916,720
40,0,170,0,762,720
41,0,169,0,770,720
42,0,23,0,918,720
43,0,23,0,916,720
44,0,172,0,769,720
45,0,22,0,920,720
46,0,22,0,919,720
47,0,46,0,896,720
48,0,20,0,923,720
49,0,19,0,922,720
50,0,26,0,917,720
51,0,17,0,927,720
52,0,17,0,925,720
53,0,27,0,916,720
54,0,15,0,929,720
55,0,14,0,927,720
56,0,36,0,905,720
57,0,12,0,931,720
58,0,11,0,931,720
59,0,167,0,774,720
60,0,10,0,932,720
61,0,217,0,716,720
62,0,165,0,775,720
63,0,6,0,935,720
64,0,213,0,721,720
65,0,10,0,928,720
66,0,2,0,936,720
67,0,210,0,703,720
68,0,6,0,932,720
69,0,0,0,938,720
70,0,207,0,706,720
71,0,157,0,780,720
72,0,0,0,937,720
73,0,203,0,709,720
74,0,22,0,916,720
75,0,0,0,937,720
76,0,224,121,634,599
77,0,149,0,787,720
78,0,0,0,937,720
79,0,222,117,629,603
80,0,148,0,789,720
81,0,0,0,937,720
82,0,220,115,636,605
83,0,138,0,800,720
84,0,0,0,939,720
85,0,220,116,630,604
86,0,0,0,941,720
87,0,0,0,941,720
88,0,220,119,628,601
89,0,0,0,944,720
90,0,0,0,944,720
91,0,222,122,635,598
92,0,0,0,949,720
93,0,0,0,949,720
94,0,224,127,635,593
95,0,0,0,952,720
96,0,0,0,952,720
97,0,226,130,632,590
98,0,0,0,957,720
99,0,0,0,958,720
100,0,231,130,627,590
101,0,0,0,961,720
102,0,0,0,964,720
103,0,235,130,628,590
104,0,0,0,967,720
105,0,0,0,968,720
106,0,238,130,630,590
107,0,0,0,970,720
108,0,0,0,974,720
109,0,245,130,628,590
110,0,0,0,978,720
111,0,0,0,981,720
112,0,252,129,631,591
113,0,0,0,985,720
114,0,0,0,987,720
115,0,256,128,630,592
116,0,0,0,989,720
117,0,0,0,990,720
118,0,262,129,629,591
119,0,0,0,994,720
120,0,0,0,994,720
121,0,264,128,632,592
122,0,0,0,993,720
123,0,0,0,990,720
124,0,259,128,627,592
125,0,0,0,984,720
126,0,253,127,632,593
127,0,251,127,630,593
128,0,0,0,976,720
129,0,245,126,629,594
130,0,242,125,631,595
131,0,0,0,964,720
132,0,235,124,630,596
133,0,232,123,628,597
134,0,227,122,650,598
135,0,225,121,630,599
136,0,222,120,629,600
137,0,220,119,648,601
138,0,218,118,629,602
139,0,218,117,630,603
140,0,216,116,644,604
141,0,216,115,628,605
142,0,215,114,626,606
143,0,214,112,641,608
144,0,214,111,626,609
145,0,213,110,629,610
146,0,211,108,658,612
147,0,211,107,629,613
148,0,211,105,626,615
149,0,209,103,661,617
150,0,209,101,628,619
151,0,208,99,631,621
152,0,205,97,663,623
153,0,205,95,627,625
154,0,203,93,631,627
155,0,201,90,647,630
156,0,199,88,629,632
157,0,198,86,630,634
158,0,194,84,661,636
159,0,194,82,630,638
160,0,191,80,636,640
161,0,188,78,649,642
162,0,187,77,634,643
163,0,186,75,637,645
164,0,183,74,647,646
165,0,183,74,634,646
166,0,182,73,639,647
