frame,rect_id,x,y,w,h
0,0,258,525,261,195
0,1,858,464,277,256
0,2,517,238,253,222
0,3,812,189,344,250
0,4,562,0,390,199
0,5,208,0,264,276
0,6,0,0,253,720
1,0,256,522,260,198
1,1,856,461,276,259
1,2,513,234,255,223
1,3,809,185,345,250
1,4,560,0,391,196
1,5,205,0,265,273
1,6,0,0,251,720
2,0,853,459,276,261
2,1,511,232,254,223
2,2,806,184,345,250
2,3,557,0,392,194
2,4,202,0,266,271
2,5,0,0,248,720
3,0,252,520,260,200
3,1,851,458,277,262
3,2,509,231,255,223
3,3,804,182,345,251
3,4,555,0,392,193
3,5,199,0,267,270
3,6,0,0,246,720
4,0,250,519,261,201
4,1,850,457,276,263
4,2,507,230,255,224
4,3,803,180,344,252
4,4,554,0,392,192
4,5,197,0,276,269
4,6,0,0,244,720
5,0,247,520,262,200
5,1,849,459,275,261
5,2,506,231,255,224
5,3,803,183,343,251
5,4,553,0,392,193
5,5,195,0,278,269
5,6,0,0,242,720
6,0,246,521,263,199
6,1,849,462,275,258
6,2,506,233,255,223
6,3,802,186,345,250
6,4,552,0,393,194
6,5,195,0,277,269
6,6,0,0,241,720
7,0,245,521,263,199
7,1,849,463,275,257
7,2,505,234,256,222
7,3,802,175,345,261
7,4,553,0,393,194
7,5,196,0,279,269
7,6,0,0,241,720
8,0,847,463,273,257
8,1,504,234,255,221
8,2,801,175,343,261
8,3,552,0,393,193
8,4,194,0,269,268
8,5,0,0,237,720
9,0,236,519,264,201
9,1,843,462,272,258
9,2,499,233,256,221
9,3,796,188,344,247
9,4,549,0,393,192
9,5,190,0,269,266
9,6,0,0,232,720
10,0,232,516,264,204
10,1,839,459,272,261
10,2,496,230,255,221
10,3,793,185,343,247
10,4,545,0,393,189
10,5,0,0,455,720
11,0,230,512,264,208
11,1,836,456,272,264
11,2,494,226,255,221
11,3,791,182,342,246
11,4,542,0,394,185
11,5,181,0,271,258
11,6,0,0,225,720
12,0,228,509,265,211
12,1,835,453,272,267
