frame,rect_id,x,y,w,h
0,0,414,50,359,486
0,1,1061,0,219,588
0,2,0,0,136,720
1,0,417,43,358,489
1,1,1062,0,218,585
1,2,0,0,138,720
2,0,420,36,359,493
2,1,1065,0,215,582
2,2,0,0,143,720
3,0,423,29,361,491
3,1,1069,0,211,576
3,2,0,0,145,720
4,0,427,22,363,496
4,1,1073,0,207,576
4,2,0,0,150,720
5,0,429,18,366,501
5,1,1078,0,202,576
5,2,0,0,151,720
6,0,431,18,368,500
6,1,1083,0,197,578
6,2,0,0,151,720
7,0,434,19,369,504
7,1,1089,0,191,583
7,2,0,0,154,720
8,0,436,21,370,506
8,1,1092,0,188,587
8,2,0,0,155,720
9,0,438,26,371,502
9,1,1097,0,183,590
9,2,0,0,158,720
10,0,440,29,371,506
10,1,1100,0,180,596
10,2,0,0,160,720
11,0,442,30,373,507
11,1,1106,0,174,597
11,2,0,0,160,720
12,0,444,28,374,507
12,1,1111,0,169,597
12,2,0,0,163,720
13,0,445,28,375,513
13,1,1115,0,165,601
13,2,0,0,162,720
14,0,447,26,376,515
14,1,1122,0,158,600
14,2,0,0,163,720
15,0,447,23,378,515
15,1,1127,0,153,599
15,2,0,0,161,720
16,0,447,21,379,521
16,1,1129,0,151,600
16,2,0,0,162,720
17,0,447,19,379,523
17,1,1132,0,148,599
17,2,0,0,160,720
18,0,446,18,381,523
18,1,1135,0,145,599
18,2,0,0,160,720
19,0,444,18,382,528
19,1,1136,0,144,602
19,2,0,0,159,720
20,0,440,18,385,529
20,1,1138,0,142,604
20,2,0,0,153,720
21,0,437,17,387,534
21,1,1143,0,137,610
21,2,0,0,152,720
22,0,433,15,390,541
22,1,1148,0,132,618
22,2,0,0,149,720
23,0,427,14,394,542
23,1,1153,0,127,622
23,2,0,0,144,720
24,0,428,12,395,549
24,1,1164,0,116,633
24,2,0,0,152,720
25,0,427,16,397,556
25,1,1172,0,108,645
25,2,0,0,154,720
26,0,431,17,398,555
26,1,1186,0,94,653
26,2,0,0,163,720
27,0,430,16,398,562
27,1,1193,0,87,661
27,2,0,0,165,720
28,0,432,14,399,567
28,1,1203,0,77,665
28,2,0,0,171,720
29,0,432,13,399,566
29,1,0,0,176,720
30,0,430,11,399,573
30,1,0,0,180,720
31,0,428,10,400,576
31,1,0,0,182,720
32,0,425,10,400,575
32,1,0,0,184,720
33,0,425,9,400,583
33,1,0,0,189,720
34,0,424,10,402,583
34,1,0,0,192,720
35,0,425,9,400,585
35,1,0,0,197,720
36,0,427,9,405,592
36,1,0,0,205,720
37,0,435,7,404,593
37,1,0,0,215,720
38,0,444,4,404,596
38,1,0,0,225,720
39,0,454,3,410,605
39,1,0,0,238,720
40,0,463,3,412,607
40,1,0,0,246,720
41,0,469,3,415,612
41,1,0,0,251,720
42,0,477,6,423,623
42,1,0,0,256,720
43,0,479,6,426,625
43,1,0,0,254,720
44,0,476,6,430,631
44,1,0,0,248,720
45,0,472,10,436,633
45,1,0,0,240,720
46,0,467,14,434,629
46,1,0,0,232,720
47,0,460,13,436,632
47,1,0,0,224,720
48,0,457,15,439,635
