frame,rect_id,x,y,w,h
0,0,248,20,760,573
1,0,247,13,763,576
2,0,243,13,763,577
3,0,242,11,763,574
4,0,245,10,763,577
4,1,0,0,70,720
5,0,241,9,764,577
6,0,243,9,763,575
7,0,243,8,763,577
8,0,244,8,763,577
9,0,244,7,763,575
10,0,245,7,763,577
10,1,0,0,71,720
11,0,0,11,71,709
11,1,245,7,763,576
12,0,246,7,763,575
12,1,0,0,71,720
13,0,246,7,763,576
13,1,0,0,72,720
14,0,0,11,72,709
14,1,247,7,762,577
15,0,246,8,763,575
15,1,0,0,72,720
16,0,247,9,762,576
17,0,0,22,72,698
17,1,247,10,762,576
18,0,247,11,761,575
18,1,0,7,72,713
19,0,247,12,761,576
20,0,0,17,72,703
20,1,247,12,761,576
21,0,247,13,762,575
21,1,0,0,72,720
22,0,247,14,761,576
23,0,246,14,762,576
24,0,246,14,762,575
24,1,0,0,71,720
25,0,246,14,762,577
26,0,246,14,762,576
27,0,246,14,762,575
27,1,0,0,70,720
28,0,245,14,763,577
29,0,245,14,763,577
30,0,245,14,764,576
30,1,0,0,70,720
31,0,246,14,763,577
32,0,246,14,764,578
32,1,0,14,71,706
33,0,246,14,765,577
33,1,0,0,71,720
34,0,246,14,765,579
35,0,247,14,765,578
36,0,247,14,765,577
36,1,0,0,71,720
37,0,247,14,766,580
38,0,247,14,766,578
39,0,248,14,766,578
39,1,0,0,72,720
40,0,248,14,767,580
41,0,0,20,72,700
41,1,248,13,768,580
42,0,249,13,768,580
42,1,0,0,73,720
43,0,249,13,768,581
44,0,0,18,73,702
44,1,249,13,769,580
45,0,250,12,769,581
45,1,0,0,73,720
46,0,250,12,769,582
47,0,0,19,73,701
47,1,250,13,770,580
48,0,251,12,770,581
48,1,0,0,74,720
49,0,252,13,769,582
50,0,0,20,74,700
50,1,252,13,770,581
51,0,252,13,770,580
51,1,0,0,76,720
52,0,253,13,770,582
53,0,0,21,75,699
53,1,253,13,770,581
54,0,254,13,770,581
54,1,0,0,76,720
55,0,254,13,770,583
55,1,0,0,76,720
56,0,0,19,75,701
56,1,254,14,770,580
57,0,254,14,771,580
57,1,0,0,76,720
58,0,254,14,771,582
58,1,0,0,75,720
59,0,0,19,74,701
59,1,254,13,771,581
60,0,255,14,770,581
60,1,0,0,75,720
61,0,255,13,771,583
62,0,0,19,73,701
62,1,255,13,771,581
63,0,255,13,771,582
63,1,0,0,74,720
64,0,255,12,771,584
64,1,0,0,73,720
65,0,0,14,72,706
65,1,254,12,772,582
66,0,254,11,772,583
66,1,0,0,72,720
67,0,253,10,773,585
68,0,252,10,773,583
69,0,251,10,773,583
70,0,250,9,773,585
71,0,248,9,774,584
72,0,246,9,775,584
73,0,245,9,774,585
74,0,243,9,775,584
75,0,242,8,775,586
76,0,240,8,776,587
77,0,239,7,775,587
78,0,237,7,777,587
79,0,236,7,777,589
80,0,234,7,778,588
81,0,231,7,780,590
82,0,229,7,780,591
83,0,226,6,782,591
84,0,224,6,783,594
85,0,221,5,785,595
86,0,218,4,788,596
87,0,214,3,791,599
88,0,211,2,793,602
89,0,207,1,796,602
90,0,203,0,800,606
91,0,199,0,803,607
92,0,195,0,807,608
93,0,190,0,812,612
94,0,186,0,815,613
95,0,182,0,820,614
96,0,178,0,824,619
97,0,174,0,828,621
98,0,170,0,832,623
99,0,166,0,836,628
100,0,162,0,840,630
101,0,159,0,844,632
102,0,156,0,849,637
103,0,154,0,852,638
104,0,151,0,857,641
105,0,149,0,860,646
106,0,147,0,864,648
107,0,146,0,866,651
108,0,145,0,869,656
109,0,143,0,872,656
110,0,142,0,875,660
111,0,141,0,877,665
112,0,140,0,880,665
113,0,139,0,883,667
114,0,138,0,885,670
115,0,137,0,888,670
116,0,137,1,889,673
117,0,137,2,891,676
118,0,136,4,893,674
119,0,137,5,893,677
120,0,137,6,895,678
121,0,137,6,897,679
122,0,138,7,898,680
123,0,139,8,899,681
124,0,139,9,900,680
125,0,141,9,900,683
126,0,142,10,901,684
127,0,143,11,902,682
128,0,145,12,903,684
129,0,146,12,904,685
130,0,147,13,904,685
131,0,148,13,905,687
132,0,149,14,906,687
133,0,150,14,907,687
134,0,152,14,906,689
135,0,153,14,907,690
136,0,154,15,908,688
137,0,155,15,909,691
138,0,157,15,909,691
139,0,158,15,910,690
140,0,160,15,910,692
141,0,161,15,911,692
142,0,163,15,910,691
143,0,165,15,910,693
144,0,166,15,910,692
145,0,167,14,911,692
146,0,169,14,911,693
147,0,170,13,912,694
148,0,172,13,912,693
149,0,175,13,911,694
150,0,177,12,912,695
151,0,179,12,912,693
152,0,182,12,912,695
153,0,184,12,912,695
154,0,186,12,911,693
155,0,188,12,911,695
156,0,190,12,911,694
157,0,192,12,911,693
158,0,194,12,911,694
159,0,196,12,911,693
160,0,198,13,911,693
161,0,200,13,911,695
162,0,202,14,912,693
163,0,204,15,912,692
164,0,207,16,911,692
165,0,210,17,911,691
166,0,213,17,911,690
167,0,215,18,912,691
168,0,217,18,912,690
169,0,220,19,912,689
170,0,223,19,913,691
171,0,226,19,913,690
172,0,228,19,914,690
173,0,229,19,915,691
174,0,230,19,915,690
175,0,231,20,916,689
176,0,232,19,916,691
177,0,233,20,917,689
178,0,234,21,916,688
179,0,236,21,915,690
180,0,236,21,916,688
181,0,237,21,915,688
182,0,237,21,915,690
183,0,238,21,914,688
184,0,238,21,913,688
185,0,238,21,913,689
186,0,238,21,911,688
187,0,237,20,911,688
188,0,237,20,909,690
189,0,236,20,908,688
190,0,236,20,906,688
191,0,236,19,904,690
192,0,235,19,903,688
193,0,235,18,901,689
194,0,234,17,899,691
195,0,233,17,898,689
196,0,233,16,896,689
197,0,233,16,893,690
198,0,234,16,891,688
199,0,235,15,890,689
200,0,235,15,889,691
201,0,236,15,887,688
202,0,236,15,886,688
203,0,236,14,885,690
204,0,235,14,884,688
205,0,235,13,883,689
206,0,234,13,882,690
207,0,233,12,882,690
208,0,232,12,882,691
