frame,rect_id,x,y,w,h
0,0,1426,237,494,574
0,1,0,205,327,642
0,2,433,194,839,678
0,3,1309,0,532,229
0,4,572,0,643,158
1,0,1424,233,496,566
1,1,0,203,325,641
1,2,432,193,839,680
1,3,1307,0,530,225
1,4,569,0,643,156
2,0,1423,229,497,565
2,1,0,201,324,644
2,2,433,189,838,687
2,3,1307,0,529,221
2,4,567,0,645,151
3,0,1423,226,497,565
3,1,0,200,324,645
3,2,433,186,839,688
3,3,1308,0,530,217
3,4,567,0,645,148
4,0,1422,224,498,579
4,1,0,200,324,643
4,2,433,186,839,687
4,3,1307,0,532,216
4,4,566,0,643,147
5,0,1422,225,498,578
5,1,0,200,323,641
5,2,433,186,839,688
5,3,1307,0,528,216
5,4,565,0,644,147
6,0,1422,225,498,594
6,1,0,201,323,645
6,2,434,186,838,688
6,3,1307,0,529,215
6,4,565,0,643,147
7,0,1424,226,496,576
7,1,0,202,325,619
7,2,437,187,839,682
7,3,1308,0,531,215
7,4,567,0,645,148
8,0,1427,227,493,570
8,1,0,205,329,616
8,2,440,190,839,655
8,3,1310,0,532,216
8,4,570,0,644,150
9,0,1430,228,490,589
9,1,0,205,331,644
9,2,442,191,839,683
9,3,1312,0,532,217
9,4,573,0,646,151
10,0,1431,229,489,581
10,1,0,207,333,644
10,2,444,192,838,665
10,3,1313,0,534,218
10,4,575,0,643,152
11,0,1433,232,487,582
11,1,0,210,335,625
11,2,446,197,838,686
11,3,1314,0,535,221
11,4,577,0,640,155
12,0,1434,235,486,569
12,1,0,213,337,530
12,2,447,199,838,687
12,3,1314,0,532,223
12,4,578,0,640,158
13,0,1435,237,485,572
13,1,0,214,338,527
13,2,448,199,838,682
13,3,1314,0,536,224
13,4,579,0,644,160
14,0,1436,237,484,573
14,1,0,214,339,639
14,2,448,199,838,691
14,3,1315,0,535,225
14,4,580,0,643,160
15,0,1436,238,484,583
15,1,0,213,339,554
15,2,446,199,838,692
15,3,1316,0,535,227
15,4,581,0,640,161
16,0,1435,241,485,569
16,1,0,213,338,641
16,2,445,201,837,683
16,3,1314,0,532,231
16,4,581,0,641,163
17,0,1434,245,486,579
17,1,0,215,338,638
17,2,444,202,838,678
17,3,1313,0,535,234
17,4,581,0,642,166
18,0,1435,247,485,581
18,1,0,216,339,636
18,2,445,205,838,684
18,3,1312,0,538,237
18,4,582,0,643,169
19,0,1436,247,484,585
19,1,0,216,340,638
19,2,446,205,837,690
19,3,1313,0,535,237
19,4,583,0,641,169
20,0,1436,247,484,577
20,1,0,216,340,639
20,2,445,205,838,676
20,3,1314,0,537,237
20,4,583,0,641,169
21,0,1436,247,484,583
21,1,0,215,340,557
21,2,445,204,837,685
21,3,1314,0,537,237
21,4,583,0,639,168
22,0,1436,248,484,576
22,1,0,215,340,639
22,2,445,204,837,687
22,3,1314,0,536,237
22,4,583,0,643,169
23,0,1436,248,484,577
23,1,0,214,341,638
23,2,445,204,836,691
23,3,1315,0,533,239
23,4,584,0,639,169
24,0,1436,250,484,582
24,1,0,214,342,526
24,2,444,204,837,680
24,3,1315,0,539,241
24,4,585,0,642,170
25,0,1436,251,484,592
25,1,0,214,341,638
25,2,443,204,836,682
25,3,1315,0,539,243
25,4,585,0,639,171
26,0,1435,252,485,584
26,1,0,213,340,638
26,2,441,204,837,685
26,3,1314,0,533,244
26,4,584,0,642,172
27,0,1434,251,486,579
27,1,0,212,339,634
27,2,440,203,836,685
27,3,1314,0,535,244
27,4,584,0,641,172
28,0,1433,253,487,582
28,1,0,212,339,637
28,2,440,203,836,679
28,3,1313,0,537,245
28,4,583,0,640,172
29,0,1433,253,487,575
29,1,0,213,339,528
29,2,440,204,836,685
29,3,1312,0,534,246
29,4,583,0,641,173
30,0,1433,254,487,589
30,1,0,216,339,639
30,2,442,207,835,679
30,3,1312,0,538,246
30,4,583,0,639,175
31,0,1434,254,486,581
31,1,0,219,340,560
31,2,444,209,835,679
31,3,1312,0,539,245
31,4,583,0,641,175
32,0,1435,254,485,580
32,1,0,221,342,638
32,2,446,211,834,682
32,3,1312,0,539,243
32,4,584,0,636,176
33,0,1436,254,484,581
33,1,0,222,343,637
33,2,447,212,835,681
33,3,1312,0,540,243
33,4,585,0,641,176
34,0,1436,255,484,588
34,1,0,223,344,638
34,2,448,213,834,681
34,3,1312,0,536,244
34,4,586,0,639,177
35,0,1437,257,483,586
35,1,0,225,346,638
35,2,450,215,833,682
35,3,1313,0,542,244
35,4,587,0,640,179
36,0,1438,259,482,577
36,1,0,228,348,636
36,2,451,218,833,661
36,3,1313,0,540,246
36,4,589,0,637,180
37,0,1438,260,482,580
37,1,0,231,348,636
37,2,451,220,832,692
37,3,1313,0,538,248
37,4,589,0,636,183
38,0,1438,263,482,576
38,1,0,233,349,635
38,2,452,222,831,692
38,3,1312,0,543,249
38,4,589,0,637,185
39,0,1439,263,481,573
39,1,0,234,350,630
39,2,454,223,831,677
39,3,1312,0,541,250
39,4,590,0,639,186
40,0,1441,264,479,570
40,1,0,235,354,628
40,2,457,225,830,688
40,3,1314,0,541,250
40,4,593,0,639,187
41,0,1443,265,477,578
41,1,0,237,357,524
41,2,460,227,829,690
41,3,1316,0,544,251
41,4,595,0,638,188
42,0,1445,266,475,572
42,1,0,239,359,523
42,2,463,228,827,639
42,3,1317,0,544,250
42,4,597,0,639,189
